question,answers,correct_answer,id,
"If a box contains 15 red balls and 10 green balls, what is the probability of randomly selecting a green ball?","[""1/4"",""1/3"",""2/5"",""3/5""]",1/4,21,
"If a train travels at a speed of 100 kilometers per hour, how long will it take to travel 300 kilometers?","[""2 hours"",""3 hours"",""4 hours"",""5 hours""]",3 hours,22,
"If a book originally costs $40 and is on sale for 15% off, what is the sale price?","[""$6"",""$10"",""$24"",""$34""]",$34,23,
"If a square has a side length of 7 inches, what is its area?","[""14 square inches"",""21 square inches"",""28 square inches"",""49 square inches""]",49 square inches,24,
"If 5y - 2 = 13, what is the value of y?","[""2"",""3"",""4"",""5""]",3,25,
"If a bag contains 12 marbles and 6 marbles are drawn at random, how many marbles are left?","[""2 marbles"",""4 marbles"",""6 marbles"",""8 marbles""]",6 marbles,26,
"If 4 apples cost $1.20, how much do 10 apples cost?","[""$2.50"",""$3.00"",""$3.50"",""$4.00""]",$3.00,27,
"If it is currently 2:30 PM, how many minutes are left until 4:00 PM?","[""30 minutes"",""60 minutes"",""90 minutes"",""120 minutes""]",90 minutes,28,
"If a deck of cards contains 52 cards and 5 cards are drawn at random, what is the probability of drawing a face card (king, queen, or jack)?","[""1/13"",""1/4"",""3/10"",""1/2""]",1/10,29,
"If a car travels at a speed of 70 miles per hour, how long will it take to travel 280 miles?","[""2 hours"",""3 hours"",""4 hours"",""5 hours""]",4 hours,30,
"If a dress originally costs $50 and is on sale for 40% off, what is the sale price?","[""$10"",""$20"",""$30"",""$40""]",$30,31,
"If a rectangle has a length of 12 centimeters and a width of 9 centimeters, what is its perimeter?","[""21 centimeters"",""30 centimeters"",""36 centimeters"",""42 centimeters""]",42 centimeters,32,
"If 6x + 2 = 20, what is the value of x?","[""2"",""3"",""4"",""5""]",3,33,
"If a box contains 18 red balls and 12 green balls, what is the probability of randomly selecting a green ball?","[""1/3"",""2/3"",""1/2"",""3/4""]",1/3,34,
"If a train travels at a speed of 120 kilometers per hour, how long will it take to travel 240 kilometers?","[""1 hour"",""2 hours"",""3 hours"",""4 hours""]",2 hours,35,
"If a book originally costs $35 and is on sale for 25% off, what is the sale price?","[""$8.75"",""$15"",""$20.75"",""$26.25""]",$26.25,36,
"If a square has a side length of 5 inches, what is its area?","[""10 square inches"",""15 square inches"",""20 square inches"",""25 square inches""]",25 square inches,37,
"If 7y - 4 = 17, what is the value of y?","[""3"",""4"",""5"",""6""]",3,38,
"If a bag contains 20 marbles and 8 marbles are drawn at random, how many marbles are left?","[""4 marbles"",""6 marbles"",""8 marbles"",""12 marbles""]",12 marbles,39,
"If 5 oranges cost $1.25, how much do 12 oranges cost?","[""$2.40"",""$3.00"",""$3.60"",""$4.20""]",$3.00,40,
"If it is currently 1:45 PM, how many minutes are left until 3:15 PM?","[""30 minutes"",""60 minutes"",""90 minutes"",""120 minutes""]",90 minutes,41,
"If a deck of cards contains 52 cards and 6 cards are drawn at random, what is the probability of drawing an ace?","[""1/13"",""1/6"",""1/4"",""1/2""]",1/13,42,
